par_1,par_2,par_3,fluxo,score_total,score_medio,tipo_ciclo
PARV2_159,PARV2_200,PARV2_166,PARV2_159 → PARV2_200 → PARV2_166 → PARV2_159,2.212,0.737,3_pares
PARV2_049,PARV2_198,PARV2_065,PARV2_049 → PARV2_198 → PARV2_065 → PARV2_049,2.211,0.737,3_pares
PARV2_049,PARV2_069,PARV2_065,PARV2_049 → PARV2_069 → PARV2_065 → PARV2_049,2.211,0.737,3_pares
PARV2_013,PARV2_159,PARV2_087,PARV2_013 → PARV2_159 → PARV2_087 → PARV2_013,2.21,0.737,3_pares
PARV2_032,PARV2_219,PARV2_166,PARV2_032 → PARV2_219 → PARV2_166 → PARV2_032,2.209,0.736,3_pares
PARV2_087,PARV2_108,PARV2_204,PARV2_087 → PARV2_108 → PARV2_204 → PARV2_087,2.209,0.736,3_pares
PARV2_166,PARV2_221,PARV2_200,PARV2_166 → PARV2_221 → PARV2_200 → PARV2_166,2.209,0.736,3_pares
PARV2_065,PARV2_159,PARV2_235,PARV2_065 → PARV2_159 → PARV2_235 → PARV2_065,2.209,0.736,3_pares
PARV2_090,PARV2_193,PARV2_166,PARV2_090 → PARV2_193 → PARV2_166 → PARV2_090,2.209,0.736,3_pares
PARV2_069,PARV2_129,PARV2_166,PARV2_069 → PARV2_129 → PARV2_166 → PARV2_069,2.207,0.736,3_pares
PARV2_049,PARV2_198,PARV2_129,PARV2_049 → PARV2_198 → PARV2_129 → PARV2_049,2.206,0.735,3_pares
PARV2_051,PARV2_129,PARV2_159,PARV2_051 → PARV2_129 → PARV2_159 → PARV2_051,2.206,0.735,3_pares
PARV2_159,PARV2_179,PARV2_166,PARV2_159 → PARV2_179 → PARV2_166 → PARV2_159,2.206,0.735,3_pares
PARV2_159,PARV2_166,PARV2_204,PARV2_159 → PARV2_166 → PARV2_204 → PARV2_159,2.205,0.735,3_pares
PARV2_013,PARV2_074,PARV2_232,PARV2_013 → PARV2_074 → PARV2_232 → PARV2_013,2.204,0.735,3_pares
PARV2_049,PARV2_159,PARV2_065,PARV2_049 → PARV2_159 → PARV2_065 → PARV2_049,2.203,0.734,3_pares
PARV2_049,PARV2_239,PARV2_090,PARV2_049 → PARV2_239 → PARV2_090 → PARV2_049,2.203,0.734,3_pares
PARV2_116,PARV2_166,PARV2_204,PARV2_116 → PARV2_166 → PARV2_204 → PARV2_116,2.202,0.734,3_pares
PARV2_065,PARV2_166,PARV2_079,PARV2_065 → PARV2_166 → PARV2_079 → PARV2_065,2.2,0.733,3_pares
PARV2_006,PARV2_166,PARV2_079,PARV2_006 → PARV2_166 → PARV2_079 → PARV2_006,2.2,0.733,3_pares
PARV2_159,PARV2_166,PARV2_177,PARV2_159 → PARV2_166 → PARV2_177 → PARV2_159,2.2,0.733,3_pares
PARV2_159,PARV2_166,PARV2_244,PARV2_159 → PARV2_166 → PARV2_244 → PARV2_159,2.2,0.733,3_pares
PARV2_108,PARV2_181,PARV2_204,PARV2_108 → PARV2_181 → PARV2_204 → PARV2_108,2.198,0.733,3_pares
PARV2_013,PARV2_239,PARV2_113,PARV2_013 → PARV2_239 → PARV2_113 → PARV2_013,2.198,0.733,3_pares
PARV2_129,PARV2_159,PARV2_135,PARV2_129 → PARV2_159 → PARV2_135 → PARV2_129,2.198,0.733,3_pares
PARV2_049,PARV2_239,PARV2_177,PARV2_049 → PARV2_239 → PARV2_177 → PARV2_049,2.198,0.733,3_pares
PARV2_049,PARV2_159,PARV2_219,PARV2_049 → PARV2_159 → PARV2_219 → PARV2_049,2.198,0.733,3_pares
PARV2_049,PARV2_069,PARV2_129,PARV2_049 → PARV2_069 → PARV2_129 → PARV2_049,2.197,0.732,3_pares
PARV2_159,PARV2_193,PARV2_204,PARV2_159 → PARV2_193 → PARV2_204 → PARV2_159,2.197,0.732,3_pares
PARV2_049,PARV2_159,PARV2_204,PARV2_049 → PARV2_159 → PARV2_204 → PARV2_049,2.194,0.731,3_pares
PARV2_041,PARV2_074,PARV2_166,PARV2_041 → PARV2_074 → PARV2_166 → PARV2_041,2.194,0.731,3_pares
PARV2_006,PARV2_166,PARV2_014,PARV2_006 → PARV2_166 → PARV2_014 → PARV2_006,2.194,0.731,3_pares
PARV2_074,PARV2_218,PARV2_135,PARV2_074 → PARV2_218 → PARV2_135 → PARV2_074,2.193,0.731,3_pares
PARV2_166,PARV2_204,PARV2_219,PARV2_166 → PARV2_204 → PARV2_219 → PARV2_166,2.193,0.731,3_pares
PARV2_049,PARV2_159,PARV2_177,PARV2_049 → PARV2_159 → PARV2_177 → PARV2_049,2.192,0.731,3_pares
PARV2_127,PARV2_204,PARV2_246,PARV2_127 → PARV2_204 → PARV2_246 → PARV2_127,2.192,0.731,3_pares
PARV2_013,PARV2_049,PARV2_014,PARV2_013 → PARV2_049 → PARV2_014 → PARV2_013,2.19,0.73,3_pares
PARV2_107,PARV2_159,PARV2_166,PARV2_107 → PARV2_159 → PARV2_166 → PARV2_107,2.19,0.73,3_pares
PARV2_049,PARV2_166,PARV2_070,PARV2_049 → PARV2_166 → PARV2_070 → PARV2_049,2.189,0.73,3_pares
PARV2_090,PARV2_193,PARV2_239,PARV2_090 → PARV2_193 → PARV2_239 → PARV2_090,2.189,0.73,3_pares
PARV2_159,PARV2_166,PARV2_221,PARV2_159 → PARV2_166 → PARV2_221 → PARV2_159,2.189,0.73,3_pares
PARV2_006,PARV2_129,PARV2_159,PARV2_006 → PARV2_129 → PARV2_159 → PARV2_006,2.188,0.729,3_pares
PARV2_013,PARV2_159,PARV2_166,PARV2_013 → PARV2_159 → PARV2_166 → PARV2_013,2.188,0.729,3_pares
PARV2_065,PARV2_159,PARV2_113,PARV2_065 → PARV2_159 → PARV2_113 → PARV2_065,2.187,0.729,3_pares
PARV2_049,PARV2_159,PARV2_125,PARV2_049 → PARV2_159 → PARV2_125 → PARV2_049,2.187,0.729,3_pares
PARV2_074,PARV2_090,PARV2_143,PARV2_074 → PARV2_090 → PARV2_143 → PARV2_074,2.186,0.729,3_pares
PARV2_090,PARV2_159,PARV2_166,PARV2_090 → PARV2_159 → PARV2_166 → PARV2_090,2.186,0.729,3_pares
PARV2_107,PARV2_159,PARV2_125,PARV2_107 → PARV2_159 → PARV2_125 → PARV2_107,2.185,0.728,3_pares
PARV2_193,PARV2_204,PARV2_219,PARV2_193 → PARV2_204 → PARV2_219 → PARV2_193,2.185,0.728,3_pares
PARV2_166,PARV2_181,PARV2_171,PARV2_166 → PARV2_181 → PARV2_171 → PARV2_166,2.185,0.728,3_pares
PARV2_166,PARV2_235,PARV2_219,PARV2_166 → PARV2_235 → PARV2_219 → PARV2_166,2.185,0.728,3_pares
PARV2_129,PARV2_193,PARV2_204,PARV2_129 → PARV2_193 → PARV2_204 → PARV2_129,2.185,0.728,3_pares
PARV2_032,PARV2_187,PARV2_074,PARV2_032 → PARV2_187 → PARV2_074 → PARV2_032,2.184,0.728,3_pares
PARV2_049,PARV2_166,PARV2_139,PARV2_049 → PARV2_166 → PARV2_139 → PARV2_049,2.184,0.728,3_pares
PARV2_049,PARV2_134,PARV2_166,PARV2_049 → PARV2_134 → PARV2_166 → PARV2_049,2.184,0.728,3_pares
PARV2_049,PARV2_166,PARV2_133,PARV2_049 → PARV2_166 → PARV2_133 → PARV2_049,2.183,0.728,3_pares
PARV2_087,PARV2_129,PARV2_166,PARV2_087 → PARV2_129 → PARV2_166 → PARV2_087,2.183,0.728,3_pares
PARV2_121,PARV2_159,PARV2_166,PARV2_121 → PARV2_159 → PARV2_166 → PARV2_121,2.182,0.727,3_pares
PARV2_035,PARV2_127,PARV2_166,PARV2_035 → PARV2_127 → PARV2_166 → PARV2_035,2.182,0.727,3_pares
PARV2_014,PARV2_074,PARV2_129,PARV2_014 → PARV2_074 → PARV2_129 → PARV2_014,2.182,0.727,3_pares
PARV2_035,PARV2_159,PARV2_166,PARV2_035 → PARV2_159 → PARV2_166 → PARV2_035,2.181,0.727,3_pares
PARV2_159,PARV2_181,PARV2_204,PARV2_159 → PARV2_181 → PARV2_204 → PARV2_159,2.181,0.727,3_pares
PARV2_139,PARV2_159,PARV2_166,PARV2_139 → PARV2_159 → PARV2_166 → PARV2_139,2.181,0.727,3_pares
PARV2_006,PARV2_049,PARV2_166,PARV2_006 → PARV2_049 → PARV2_166 → PARV2_006,2.18,0.727,3_pares
PARV2_105,PARV2_166,PARV2_159,PARV2_105 → PARV2_166 → PARV2_159 → PARV2_105,2.18,0.727,3_pares
PARV2_141,PARV2_166,PARV2_159,PARV2_141 → PARV2_166 → PARV2_159 → PARV2_141,2.179,0.726,3_pares
PARV2_049,PARV2_239,PARV2_065,PARV2_049 → PARV2_239 → PARV2_065 → PARV2_049,2.179,0.726,3_pares
PARV2_013,PARV2_159,PARV2_051,PARV2_013 → PARV2_159 → PARV2_051 → PARV2_013,2.178,0.726,3_pares
PARV2_063,PARV2_219,PARV2_166,PARV2_063 → PARV2_219 → PARV2_166 → PARV2_063,2.178,0.726,3_pares
PARV2_049,PARV2_166,PARV2_209,PARV2_049 → PARV2_166 → PARV2_209 → PARV2_049,2.178,0.726,3_pares
PARV2_049,PARV2_159,PARV2_181,PARV2_049 → PARV2_159 → PARV2_181 → PARV2_049,2.178,0.726,3_pares
PARV2_013,PARV2_074,PARV2_198,PARV2_013 → PARV2_074 → PARV2_198 → PARV2_013,2.177,0.726,3_pares
PARV2_021,PARV2_166,PARV2_159,PARV2_021 → PARV2_166 → PARV2_159 → PARV2_021,2.177,0.726,3_pares
PARV2_166,PARV2_177,PARV2_204,PARV2_166 → PARV2_177 → PARV2_204 → PARV2_166,2.176,0.725,3_pares
PARV2_127,PARV2_204,PARV2_129,PARV2_127 → PARV2_204 → PARV2_129 → PARV2_127,2.176,0.725,3_pares
PARV2_032,PARV2_105,PARV2_200,PARV2_032 → PARV2_105 → PARV2_200 → PARV2_032,2.176,0.725,3_pares
PARV2_074,PARV2_218,PARV2_187,PARV2_074 → PARV2_218 → PARV2_187 → PARV2_074,2.175,0.725,3_pares
PARV2_032,PARV2_219,PARV2_200,PARV2_032 → PARV2_219 → PARV2_200 → PARV2_032,2.175,0.725,3_pares
PARV2_022,PARV2_108,PARV2_074,PARV2_022 → PARV2_108 → PARV2_074 → PARV2_022,2.174,0.725,3_pares
PARV2_125,PARV2_204,PARV2_159,PARV2_125 → PARV2_204 → PARV2_159 → PARV2_125,2.174,0.725,3_pares
PARV2_065,PARV2_171,PARV2_166,PARV2_065 → PARV2_171 → PARV2_166 → PARV2_065,2.174,0.725,3_pares
PARV2_032,PARV2_105,PARV2_166,PARV2_032 → PARV2_105 → PARV2_166 → PARV2_032,2.173,0.724,3_pares
PARV2_065,PARV2_166,PARV2_069,PARV2_065 → PARV2_166 → PARV2_069 → PARV2_065,2.172,0.724,3_pares
PARV2_108,PARV2_204,PARV2_225,PARV2_108 → PARV2_204 → PARV2_225 → PARV2_108,2.172,0.724,3_pares
PARV2_070,PARV2_143,PARV2_074,PARV2_070 → PARV2_143 → PARV2_074 → PARV2_070,2.172,0.724,3_pares
PARV2_035,PARV2_049,PARV2_159,PARV2_035 → PARV2_049 → PARV2_159 → PARV2_035,2.171,0.724,3_pares
PARV2_021,PARV2_049,PARV2_159,PARV2_021 → PARV2_049 → PARV2_159 → PARV2_021,2.171,0.724,3_pares
PARV2_090,PARV2_127,PARV2_166,PARV2_090 → PARV2_127 → PARV2_166 → PARV2_090,2.171,0.724,3_pares
PARV2_065,PARV2_166,PARV2_232,PARV2_065 → PARV2_166 → PARV2_232 → PARV2_065,2.17,0.723,3_pares
PARV2_032,PARV2_116,PARV2_166,PARV2_032 → PARV2_116 → PARV2_166 → PARV2_032,2.17,0.723,3_pares
PARV2_065,PARV2_159,PARV2_125,PARV2_065 → PARV2_159 → PARV2_125 → PARV2_065,2.169,0.723,3_pares
PARV2_006,PARV2_219,PARV2_166,PARV2_006 → PARV2_219 → PARV2_166 → PARV2_006,2.169,0.723,3_pares
PARV2_049,PARV2_127,PARV2_204,PARV2_049 → PARV2_127 → PARV2_204 → PARV2_049,2.169,0.723,3_pares
PARV2_125,PARV2_181,PARV2_159,PARV2_125 → PARV2_181 → PARV2_159 → PARV2_125,2.169,0.723,3_pares
PARV2_087,PARV2_171,PARV2_204,PARV2_087 → PARV2_171 → PARV2_204 → PARV2_087,2.169,0.723,3_pares
PARV2_074,PARV2_204,PARV2_113,PARV2_074 → PARV2_204 → PARV2_113 → PARV2_074,2.168,0.723,3_pares
PARV2_013,PARV2_239,PARV2_232,PARV2_013 → PARV2_239 → PARV2_232 → PARV2_013,2.168,0.723,3_pares
PARV2_116,PARV2_134,PARV2_166,PARV2_116 → PARV2_134 → PARV2_166 → PARV2_116,2.168,0.723,3_pares
PARV2_105,PARV2_166,PARV2_204,PARV2_105 → PARV2_166 → PARV2_204 → PARV2_105,2.168,0.723,3_pares
PARV2_049,PARV2_239,PARV2_070,PARV2_049 → PARV2_239 → PARV2_070 → PARV2_049,2.168,0.723,3_pares
PARV2_166,PARV2_204,PARV2_194,PARV2_166 → PARV2_204 → PARV2_194 → PARV2_166,2.167,0.722,3_pares
PARV2_159,PARV2_235,PARV2_219,PARV2_159 → PARV2_235 → PARV2_219 → PARV2_159,2.167,0.722,3_pares
PARV2_181,PARV2_204,PARV2_235,PARV2_181 → PARV2_204 → PARV2_235 → PARV2_181,2.167,0.722,3_pares
PARV2_129,PARV2_159,PARV2_235,PARV2_129 → PARV2_159 → PARV2_235 → PARV2_129,2.167,0.722,3_pares
PARV2_049,PARV2_159,PARV2_133,PARV2_049 → PARV2_159 → PARV2_133 → PARV2_049,2.166,0.722,3_pares
PARV2_159,PARV2_166,PARV2_209,PARV2_159 → PARV2_166 → PARV2_209 → PARV2_159,2.166,0.722,3_pares
PARV2_006,PARV2_116,PARV2_166,PARV2_006 → PARV2_116 → PARV2_166 → PARV2_006,2.166,0.722,3_pares
PARV2_049,PARV2_239,PARV2_219,PARV2_049 → PARV2_239 → PARV2_219 → PARV2_049,2.166,0.722,3_pares
PARV2_063,PARV2_181,PARV2_166,PARV2_063 → PARV2_181 → PARV2_166 → PARV2_063,2.166,0.722,3_pares
PARV2_049,PARV2_159,PARV2_139,PARV2_049 → PARV2_159 → PARV2_139 → PARV2_049,2.166,0.722,3_pares
PARV2_166,PARV2_221,PARV2_204,PARV2_166 → PARV2_221 → PARV2_204 → PARV2_166,2.165,0.722,3_pares
PARV2_069,PARV2_074,PARV2_090,PARV2_069 → PARV2_074 → PARV2_090 → PARV2_069,2.165,0.722,3_pares
PARV2_166,PARV2_235,PARV2_181,PARV2_166 → PARV2_235 → PARV2_181 → PARV2_166,2.164,0.721,3_pares
PARV2_127,PARV2_166,PARV2_159,PARV2_127 → PARV2_166 → PARV2_159 → PARV2_127,2.164,0.721,3_pares
PARV2_065,PARV2_159,PARV2_198,PARV2_065 → PARV2_159 → PARV2_198 → PARV2_065,2.164,0.721,3_pares
PARV2_006,PARV2_133,PARV2_198,PARV2_006 → PARV2_133 → PARV2_198 → PARV2_006,2.164,0.721,3_pares
PARV2_022,PARV2_129,PARV2_074,PARV2_022 → PARV2_129 → PARV2_074 → PARV2_022,2.163,0.721,3_pares
PARV2_107,PARV2_166,PARV2_239,PARV2_107 → PARV2_166 → PARV2_239 → PARV2_107,2.163,0.721,3_pares
PARV2_006,PARV2_049,PARV2_159,PARV2_006 → PARV2_049 → PARV2_159 → PARV2_006,2.163,0.721,3_pares
PARV2_090,PARV2_179,PARV2_166,PARV2_090 → PARV2_179 → PARV2_166 → PARV2_090,2.163,0.721,3_pares
PARV2_125,PARV2_209,PARV2_159,PARV2_125 → PARV2_209 → PARV2_159 → PARV2_125,2.162,0.721,3_pares
PARV2_049,PARV2_166,PARV2_244,PARV2_049 → PARV2_166 → PARV2_244 → PARV2_049,2.162,0.721,3_pares
PARV2_159,PARV2_235,PARV2_177,PARV2_159 → PARV2_235 → PARV2_177 → PARV2_159,2.162,0.721,3_pares
PARV2_079,PARV2_129,PARV2_166,PARV2_079 → PARV2_129 → PARV2_166 → PARV2_079,2.162,0.721,3_pares
PARV2_159,PARV2_210,PARV2_166,PARV2_159 → PARV2_210 → PARV2_166 → PARV2_159,2.161,0.72,3_pares
PARV2_021,PARV2_049,PARV2_239,PARV2_021 → PARV2_049 → PARV2_239 → PARV2_021,2.161,0.72,3_pares
PARV2_069,PARV2_074,PARV2_129,PARV2_069 → PARV2_074 → PARV2_129 → PARV2_069,2.161,0.72,3_pares
PARV2_127,PARV2_204,PARV2_148,PARV2_127 → PARV2_204 → PARV2_148 → PARV2_127,2.161,0.72,3_pares
PARV2_032,PARV2_166,PARV2_204,PARV2_032 → PARV2_166 → PARV2_204 → PARV2_032,2.161,0.72,3_pares
PARV2_049,PARV2_166,PARV2_239,PARV2_049 → PARV2_166 → PARV2_239 → PARV2_049,2.16,0.72,3_pares
PARV2_116,PARV2_200,PARV2_166,PARV2_116 → PARV2_200 → PARV2_166 → PARV2_116,2.16,0.72,3_pares
PARV2_129,PARV2_193,PARV2_159,PARV2_129 → PARV2_193 → PARV2_159 → PARV2_129,2.16,0.72,3_pares
PARV2_074,PARV2_218,PARV2_121,PARV2_074 → PARV2_218 → PARV2_121 → PARV2_074,2.16,0.72,3_pares
PARV2_032,PARV2_113,PARV2_074,PARV2_032 → PARV2_113 → PARV2_074 → PARV2_032,2.16,0.72,3_pares
PARV2_049,PARV2_166,PARV2_193,PARV2_049 → PARV2_166 → PARV2_193 → PARV2_049,2.16,0.72,3_pares
PARV2_049,PARV2_159,PARV2_141,PARV2_049 → PARV2_159 → PARV2_141 → PARV2_049,2.16,0.72,3_pares
PARV2_159,PARV2_166,PARV2_235,PARV2_159 → PARV2_166 → PARV2_235 → PARV2_159,2.16,0.72,3_pares
PARV2_013,PARV2_159,PARV2_232,PARV2_013 → PARV2_159 → PARV2_232 → PARV2_013,2.159,0.72,3_pares
PARV2_068,PARV2_107,PARV2_166,PARV2_068 → PARV2_107 → PARV2_166 → PARV2_068,2.159,0.72,3_pares
PARV2_049,PARV2_166,PARV2_063,PARV2_049 → PARV2_166 → PARV2_063 → PARV2_049,2.158,0.719,3_pares
PARV2_087,PARV2_171,PARV2_166,PARV2_087 → PARV2_171 → PARV2_166 → PARV2_087,2.158,0.719,3_pares
PARV2_065,PARV2_127,PARV2_166,PARV2_065 → PARV2_127 → PARV2_166 → PARV2_065,2.158,0.719,3_pares
PARV2_049,PARV2_159,PARV2_200,PARV2_049 → PARV2_159 → PARV2_200 → PARV2_049,2.157,0.719,3_pares
PARV2_014,PARV2_129,PARV2_166,PARV2_014 → PARV2_129 → PARV2_166 → PARV2_014,2.157,0.719,3_pares
PARV2_159,PARV2_240,PARV2_166,PARV2_159 → PARV2_240 → PARV2_166 → PARV2_159,2.157,0.719,3_pares
PARV2_129,PARV2_166,PARV2_204,PARV2_129 → PARV2_166 → PARV2_204 → PARV2_129,2.157,0.719,3_pares
PARV2_181,PARV2_204,PARV2_216,PARV2_181 → PARV2_204 → PARV2_216 → PARV2_181,2.157,0.719,3_pares
PARV2_013,PARV2_142,PARV2_204,PARV2_013 → PARV2_142 → PARV2_204 → PARV2_013,2.156,0.719,3_pares
PARV2_049,PARV2_166,PARV2_171,PARV2_049 → PARV2_166 → PARV2_171 → PARV2_049,2.156,0.719,3_pares
PARV2_171,PARV2_204,PARV2_184,PARV2_171 → PARV2_204 → PARV2_184 → PARV2_171,2.156,0.719,3_pares
PARV2_116,PARV2_179,PARV2_166,PARV2_116 → PARV2_179 → PARV2_166 → PARV2_116,2.155,0.718,3_pares
PARV2_074,PARV2_113,PARV2_129,PARV2_074 → PARV2_113 → PARV2_129 → PARV2_074,2.155,0.718,3_pares
PARV2_065,PARV2_179,PARV2_166,PARV2_065 → PARV2_179 → PARV2_166 → PARV2_065,2.154,0.718,3_pares
PARV2_049,PARV2_159,PARV2_179,PARV2_049 → PARV2_159 → PARV2_179 → PARV2_049,2.154,0.718,3_pares
PARV2_014,PARV2_074,PARV2_218,PARV2_014 → PARV2_074 → PARV2_218 → PARV2_014,2.154,0.718,3_pares
PARV2_154,PARV2_166,PARV2_159,PARV2_154 → PARV2_166 → PARV2_159 → PARV2_154,2.154,0.718,3_pares
PARV2_063,PARV2_159,PARV2_166,PARV2_063 → PARV2_159 → PARV2_166 → PARV2_063,2.154,0.718,3_pares
PARV2_074,PARV2_192,PARV2_129,PARV2_074 → PARV2_192 → PARV2_129 → PARV2_074,2.154,0.718,3_pares
PARV2_181,PARV2_204,PARV2_239,PARV2_181 → PARV2_204 → PARV2_239 → PARV2_181,2.154,0.718,3_pares
PARV2_074,PARV2_204,PARV2_187,PARV2_074 → PARV2_204 → PARV2_187 → PARV2_074,2.154,0.718,3_pares
PARV2_049,PARV2_159,PARV2_235,PARV2_049 → PARV2_159 → PARV2_235 → PARV2_049,2.154,0.718,3_pares
PARV2_166,PARV2_204,PARV2_212,PARV2_166 → PARV2_204 → PARV2_212 → PARV2_166,2.154,0.718,3_pares
PARV2_127,PARV2_204,PARV2_193,PARV2_127 → PARV2_204 → PARV2_193 → PARV2_127,2.153,0.718,3_pares
PARV2_032,PARV2_219,PARV2_074,PARV2_032 → PARV2_219 → PARV2_074 → PARV2_032,2.153,0.718,3_pares
