par_1,par_2,score_total,score_medio,tipo_ciclo
PARV2_074,PARV2_133,1.354,0.677,2_pares
PARV2_179,PARV2_204,1.354,0.677,2_pares
PARV2_159,PARV2_171,1.353,0.677,2_pares
PARV2_134,PARV2_159,1.353,0.676,2_pares
PARV2_013,PARV2_069,1.351,0.675,2_pares
PARV2_159,PARV2_207,1.351,0.675,2_pares
PARV2_021,PARV2_159,1.349,0.674,2_pares
PARV2_107,PARV2_239,1.348,0.674,2_pares
PARV2_159,PARV2_200,1.347,0.673,2_pares
PARV2_022,PARV2_074,1.347,0.673,2_pares
PARV2_125,PARV2_166,1.346,0.673,2_pares
PARV2_129,PARV2_203,1.346,0.673,2_pares
PARV2_098,PARV2_159,1.346,0.673,2_pares
PARV2_200,PARV2_221,1.345,0.672,2_pares
PARV2_074,PARV2_225,1.344,0.672,2_pares
PARV2_148,PARV2_166,1.343,0.671,2_pares
PARV2_166,PARV2_193,1.343,0.671,2_pares
PARV2_006,PARV2_138,1.343,0.671,2_pares
PARV2_068,PARV2_166,1.342,0.671,2_pares
PARV2_159,PARV2_179,1.341,0.67,2_pares
PARV2_069,PARV2_239,1.339,0.669,2_pares
PARV2_074,PARV2_087,1.338,0.669,2_pares
PARV2_006,PARV2_200,1.337,0.669,2_pares
PARV2_129,PARV2_146,1.337,0.669,2_pares
PARV2_127,PARV2_142,1.337,0.668,2_pares
PARV2_006,PARV2_079,1.336,0.668,2_pares
PARV2_138,PARV2_187,1.335,0.667,2_pares
PARV2_127,PARV2_159,1.335,0.667,2_pares
PARV2_171,PARV2_182,1.335,0.667,2_pares
PARV2_159,PARV2_210,1.333,0.666,2_pares
PARV2_074,PARV2_142,1.333,0.666,2_pares
PARV2_074,PARV2_198,1.333,0.666,2_pares
PARV2_171,PARV2_218,1.329,0.664,2_pares
PARV2_108,PARV2_159,1.328,0.664,2_pares
PARV2_041,PARV2_239,1.328,0.664,2_pares
PARV2_022,PARV2_138,1.327,0.663,2_pares
PARV2_138,PARV2_146,1.326,0.663,2_pares
PARV2_148,PARV2_159,1.326,0.663,2_pares
PARV2_133,PARV2_174,1.325,0.662,2_pares
PARV2_159,PARV2_221,1.325,0.663,2_pares
PARV2_177,PARV2_202,1.325,0.663,2_pares
PARV2_032,PARV2_174,1.325,0.663,2_pares
PARV2_204,PARV2_235,1.324,0.662,2_pares
PARV2_051,PARV2_171,1.324,0.662,2_pares
PARV2_006,PARV2_235,1.323,0.661,2_pares
PARV2_065,PARV2_243,1.322,0.661,2_pares
PARV2_200,PARV2_209,1.322,0.661,2_pares
PARV2_142,PARV2_166,1.322,0.661,2_pares
PARV2_032,PARV2_216,1.321,0.661,2_pares
PARV2_074,PARV2_136,1.32,0.66,2_pares
PARV2_006,PARV2_087,1.319,0.659,2_pares
PARV2_113,PARV2_239,1.319,0.659,2_pares
PARV2_216,PARV2_219,1.317,0.659,2_pares
PARV2_135,PARV2_138,1.316,0.658,2_pares
PARV2_056,PARV2_218,1.315,0.657,2_pares
PARV2_021,PARV2_218,1.315,0.657,2_pares
PARV2_079,PARV2_171,1.315,0.657,2_pares
PARV2_139,PARV2_239,1.314,0.657,2_pares
PARV2_006,PARV2_203,1.311,0.655,2_pares
PARV2_056,PARV2_074,1.311,0.655,2_pares
PARV2_163,PARV2_204,1.311,0.655,2_pares
PARV2_108,PARV2_200,1.311,0.655,2_pares
PARV2_074,PARV2_141,1.311,0.655,2_pares
PARV2_014,PARV2_098,1.309,0.655,2_pares
PARV2_014,PARV2_171,1.309,0.655,2_pares
PARV2_166,PARV2_240,1.309,0.655,2_pares
PARV2_235,PARV2_239,1.309,0.655,2_pares
PARV2_193,PARV2_200,1.309,0.655,2_pares
PARV2_006,PARV2_069,1.308,0.654,2_pares
PARV2_098,PARV2_204,1.306,0.653,2_pares
PARV2_110,PARV2_239,1.305,0.653,2_pares
PARV2_142,PARV2_159,1.305,0.652,2_pares
PARV2_098,PARV2_243,1.303,0.651,2_pares
PARV2_179,PARV2_193,1.303,0.651,2_pares
PARV2_138,PARV2_225,1.302,0.651,2_pares
PARV2_028,PARV2_204,1.301,0.651,2_pares
PARV2_074,PARV2_163,1.299,0.649,2_pares
PARV2_072,PARV2_125,1.299,0.649,2_pares
PARV2_129,PARV2_238,1.299,0.649,2_pares
PARV2_146,PARV2_239,1.296,0.648,2_pares
PARV2_110,PARV2_171,1.296,0.648,2_pares
PARV2_021,PARV2_200,1.296,0.648,2_pares
PARV2_021,PARV2_074,1.294,0.647,2_pares
PARV2_079,PARV2_239,1.294,0.647,2_pares
PARV2_108,PARV2_238,1.291,0.645,2_pares
PARV2_108,PARV2_135,1.29,0.645,2_pares
PARV2_098,PARV2_110,1.289,0.645,2_pares
PARV2_032,PARV2_235,1.289,0.645,2_pares
PARV2_065,PARV2_202,1.287,0.643,2_pares
PARV2_111,PARV2_182,1.287,0.643,2_pares
PARV2_202,PARV2_239,1.286,0.643,2_pares
PARV2_159,PARV2_246,1.283,0.641,2_pares
PARV2_142,PARV2_171,1.282,0.641,2_pares
PARV2_170,PARV2_239,1.281,0.641,2_pares
PARV2_098,PARV2_136,1.281,0.641,2_pares
PARV2_127,PARV2_193,1.281,0.641,2_pares
PARV2_102,PARV2_216,1.281,0.641,2_pares
PARV2_071,PARV2_204,1.28,0.64,2_pares
PARV2_129,PARV2_216,1.279,0.639,2_pares
PARV2_105,PARV2_159,1.279,0.639,2_pares
PARV2_004,PARV2_074,1.279,0.639,2_pares
PARV2_072,PARV2_235,1.279,0.639,2_pares
PARV2_070,PARV2_159,1.276,0.638,2_pares
PARV2_188,PARV2_239,1.276,0.638,2_pares
PARV2_123,PARV2_200,1.274,0.637,2_pares
PARV2_013,PARV2_238,1.271,0.635,2_pares
PARV2_074,PARV2_102,1.268,0.634,2_pares
PARV2_072,PARV2_074,1.266,0.633,2_pares
PARV2_138,PARV2_174,1.266,0.633,2_pares
PARV2_107,PARV2_202,1.266,0.633,2_pares
PARV2_036,PARV2_074,1.265,0.633,2_pares
PARV2_054,PARV2_065,1.265,0.633,2_pares
PARV2_105,PARV2_174,1.265,0.633,2_pares
PARV2_121,PARV2_200,1.264,0.632,2_pares
PARV2_239,PARV2_243,1.261,0.631,2_pares
PARV2_032,PARV2_060,1.26,0.63,2_pares
PARV2_174,PARV2_194,1.259,0.629,2_pares
PARV2_068,PARV2_154,1.259,0.629,2_pares
PARV2_028,PARV2_202,1.259,0.629,2_pares
PARV2_090,PARV2_202,1.259,0.629,2_pares
PARV2_098,PARV2_200,1.256,0.628,2_pares
PARV2_021,PARV2_054,1.256,0.628,2_pares
PARV2_159,PARV2_163,1.249,0.625,2_pares
PARV2_127,PARV2_200,1.245,0.623,2_pares
PARV2_174,PARV2_179,1.244,0.622,2_pares
PARV2_103,PARV2_239,1.236,0.618,2_pares
PARV2_172,PARV2_238,1.234,0.617,2_pares
PARV2_054,PARV2_221,1.22,0.61,2_pares
PARV2_017,PARV2_138,1.22,0.61,2_pares
