par_1,par_2,par_3,fluxo,score_total,score_medio,tipo_ciclo
PAR_012,PAR_069,PAR_075,PAR_012 → PAR_069 → PAR_075 → PAR_012,2.269,0.756,3_pares
PAR_014,PAR_037,PAR_070,PAR_014 → PAR_037 → PAR_070 → PAR_014,2.268,0.756,3_pares
PAR_012,PAR_037,PAR_075,PAR_012 → PAR_037 → PAR_075 → PAR_012,2.267,0.756,3_pares
PAR_014,PAR_075,PAR_070,PAR_014 → PAR_075 → PAR_070 → PAR_014,2.266,0.755,3_pares
PAR_012,PAR_109,PAR_046,PAR_012 → PAR_109 → PAR_046 → PAR_012,2.266,0.755,3_pares
PAR_046,PAR_080,PAR_075,PAR_046 → PAR_080 → PAR_075 → PAR_046,2.265,0.755,3_pares
PAR_003,PAR_037,PAR_057,PAR_003 → PAR_037 → PAR_057 → PAR_003,2.265,0.755,3_pares
PAR_012,PAR_061,PAR_037,PAR_012 → PAR_061 → PAR_037 → PAR_012,2.263,0.754,3_pares
PAR_005,PAR_037,PAR_070,PAR_005 → PAR_037 → PAR_070 → PAR_005,2.26,0.753,3_pares
PAR_012,PAR_094,PAR_037,PAR_012 → PAR_094 → PAR_037 → PAR_012,2.26,0.753,3_pares
PAR_012,PAR_075,PAR_046,PAR_012 → PAR_075 → PAR_046 → PAR_012,2.26,0.753,3_pares
PAR_003,PAR_012,PAR_015,PAR_003 → PAR_012 → PAR_015 → PAR_003,2.26,0.753,3_pares
PAR_012,PAR_094,PAR_073,PAR_012 → PAR_094 → PAR_073 → PAR_012,2.26,0.753,3_pares
PAR_037,PAR_057,PAR_069,PAR_037 → PAR_057 → PAR_069 → PAR_037,2.259,0.753,3_pares
PAR_012,PAR_075,PAR_080,PAR_012 → PAR_075 → PAR_080 → PAR_012,2.259,0.753,3_pares
PAR_057,PAR_069,PAR_075,PAR_057 → PAR_069 → PAR_075 → PAR_057,2.257,0.752,3_pares
PAR_003,PAR_094,PAR_057,PAR_003 → PAR_094 → PAR_057 → PAR_003,2.256,0.752,3_pares
PAR_061,PAR_075,PAR_117,PAR_061 → PAR_075 → PAR_117 → PAR_061,2.256,0.752,3_pares
PAR_069,PAR_075,PAR_070,PAR_069 → PAR_075 → PAR_070 → PAR_069,2.256,0.752,3_pares
PAR_012,PAR_109,PAR_117,PAR_012 → PAR_109 → PAR_117 → PAR_012,2.255,0.752,3_pares
PAR_014,PAR_037,PAR_075,PAR_014 → PAR_037 → PAR_075 → PAR_014,2.255,0.752,3_pares
PAR_069,PAR_075,PAR_090,PAR_069 → PAR_075 → PAR_090 → PAR_069,2.255,0.752,3_pares
PAR_046,PAR_117,PAR_075,PAR_046 → PAR_117 → PAR_075 → PAR_046,2.255,0.752,3_pares
PAR_003,PAR_069,PAR_075,PAR_003 → PAR_069 → PAR_075 → PAR_003,2.254,0.751,3_pares
PAR_003,PAR_094,PAR_055,PAR_003 → PAR_094 → PAR_055 → PAR_003,2.254,0.751,3_pares
PAR_075,PAR_117,PAR_094,PAR_075 → PAR_117 → PAR_094 → PAR_075,2.253,0.751,3_pares
PAR_012,PAR_075,PAR_028,PAR_012 → PAR_075 → PAR_028 → PAR_012,2.253,0.751,3_pares
PAR_037,PAR_075,PAR_070,PAR_037 → PAR_075 → PAR_070 → PAR_037,2.253,0.751,3_pares
PAR_003,PAR_037,PAR_075,PAR_003 → PAR_037 → PAR_075 → PAR_003,2.252,0.751,3_pares
PAR_012,PAR_109,PAR_052,PAR_012 → PAR_109 → PAR_052 → PAR_012,2.252,0.751,3_pares
PAR_003,PAR_012,PAR_090,PAR_003 → PAR_012 → PAR_090 → PAR_003,2.252,0.751,3_pares
PAR_055,PAR_069,PAR_061,PAR_055 → PAR_069 → PAR_061 → PAR_055,2.25,0.75,3_pares
PAR_057,PAR_075,PAR_061,PAR_057 → PAR_075 → PAR_061 → PAR_057,2.25,0.75,3_pares
PAR_046,PAR_057,PAR_075,PAR_046 → PAR_057 → PAR_075 → PAR_046,2.249,0.75,3_pares
PAR_012,PAR_109,PAR_014,PAR_012 → PAR_109 → PAR_014 → PAR_012,2.248,0.749,3_pares
PAR_012,PAR_109,PAR_057,PAR_012 → PAR_109 → PAR_057 → PAR_012,2.248,0.749,3_pares
PAR_070,PAR_093,PAR_094,PAR_070 → PAR_093 → PAR_094 → PAR_070,2.247,0.749,3_pares
PAR_012,PAR_021,PAR_057,PAR_012 → PAR_021 → PAR_057 → PAR_012,2.247,0.749,3_pares
PAR_012,PAR_109,PAR_070,PAR_012 → PAR_109 → PAR_070 → PAR_012,2.247,0.749,3_pares
PAR_003,PAR_037,PAR_080,PAR_003 → PAR_037 → PAR_080 → PAR_003,2.246,0.749,3_pares
PAR_055,PAR_061,PAR_075,PAR_055 → PAR_061 → PAR_075 → PAR_055,2.246,0.749,3_pares
PAR_012,PAR_075,PAR_052,PAR_012 → PAR_075 → PAR_052 → PAR_012,2.246,0.749,3_pares
PAR_015,PAR_055,PAR_070,PAR_015 → PAR_055 → PAR_070 → PAR_015,2.246,0.749,3_pares
PAR_070,PAR_080,PAR_075,PAR_070 → PAR_080 → PAR_075 → PAR_070,2.246,0.749,3_pares
PAR_070,PAR_094,PAR_073,PAR_070 → PAR_094 → PAR_073 → PAR_070,2.246,0.749,3_pares
PAR_003,PAR_092,PAR_080,PAR_003 → PAR_092 → PAR_080 → PAR_003,2.245,0.748,3_pares
PAR_037,PAR_075,PAR_093,PAR_037 → PAR_075 → PAR_093 → PAR_037,2.244,0.748,3_pares
PAR_003,PAR_094,PAR_073,PAR_003 → PAR_094 → PAR_073 → PAR_003,2.244,0.748,3_pares
PAR_012,PAR_037,PAR_014,PAR_012 → PAR_037 → PAR_014 → PAR_012,2.244,0.748,3_pares
PAR_003,PAR_075,PAR_080,PAR_003 → PAR_075 → PAR_080 → PAR_003,2.244,0.748,3_pares
PAR_012,PAR_094,PAR_117,PAR_012 → PAR_094 → PAR_117 → PAR_012,2.243,0.748,3_pares
PAR_012,PAR_037,PAR_070,PAR_012 → PAR_037 → PAR_070 → PAR_012,2.243,0.748,3_pares
PAR_003,PAR_051,PAR_055,PAR_003 → PAR_051 → PAR_055 → PAR_003,2.243,0.748,3_pares
PAR_005,PAR_012,PAR_109,PAR_005 → PAR_012 → PAR_109 → PAR_005,2.242,0.747,3_pares
PAR_003,PAR_037,PAR_018,PAR_003 → PAR_037 → PAR_018 → PAR_003,2.241,0.747,3_pares
PAR_012,PAR_075,PAR_090,PAR_012 → PAR_075 → PAR_090 → PAR_012,2.241,0.747,3_pares
PAR_061,PAR_069,PAR_075,PAR_061 → PAR_069 → PAR_075 → PAR_061,2.24,0.747,3_pares
PAR_028,PAR_075,PAR_070,PAR_028 → PAR_075 → PAR_070 → PAR_028,2.24,0.747,3_pares
PAR_012,PAR_061,PAR_057,PAR_012 → PAR_061 → PAR_057 → PAR_012,2.239,0.746,3_pares
PAR_012,PAR_061,PAR_014,PAR_012 → PAR_061 → PAR_014 → PAR_012,2.239,0.746,3_pares
PAR_003,PAR_075,PAR_018,PAR_003 → PAR_075 → PAR_018 → PAR_003,2.239,0.746,3_pares
PAR_021,PAR_092,PAR_080,PAR_021 → PAR_092 → PAR_080 → PAR_021,2.239,0.746,3_pares
PAR_003,PAR_075,PAR_036,PAR_003 → PAR_075 → PAR_036 → PAR_003,2.239,0.746,3_pares
PAR_003,PAR_094,PAR_080,PAR_003 → PAR_094 → PAR_080 → PAR_003,2.238,0.746,3_pares
PAR_003,PAR_012,PAR_034,PAR_003 → PAR_012 → PAR_034 → PAR_003,2.238,0.746,3_pares
PAR_015,PAR_055,PAR_069,PAR_015 → PAR_055 → PAR_069 → PAR_015,2.238,0.746,3_pares
PAR_012,PAR_015,PAR_028,PAR_012 → PAR_015 → PAR_028 → PAR_012,2.237,0.746,3_pares
PAR_003,PAR_075,PAR_028,PAR_003 → PAR_075 → PAR_028 → PAR_003,2.237,0.746,3_pares
PAR_046,PAR_061,PAR_109,PAR_046 → PAR_061 → PAR_109 → PAR_046,2.237,0.746,3_pares
PAR_037,PAR_075,PAR_061,PAR_037 → PAR_075 → PAR_061 → PAR_037,2.237,0.746,3_pares
PAR_069,PAR_075,PAR_080,PAR_069 → PAR_075 → PAR_080 → PAR_069,2.237,0.746,3_pares
PAR_037,PAR_075,PAR_046,PAR_037 → PAR_075 → PAR_046 → PAR_037,2.236,0.745,3_pares
PAR_003,PAR_070,PAR_055,PAR_003 → PAR_070 → PAR_055 → PAR_003,2.236,0.745,3_pares
PAR_037,PAR_103,PAR_057,PAR_037 → PAR_103 → PAR_057 → PAR_037,2.236,0.745,3_pares
PAR_012,PAR_109,PAR_073,PAR_012 → PAR_109 → PAR_073 → PAR_012,2.236,0.745,3_pares
PAR_012,PAR_094,PAR_014,PAR_012 → PAR_094 → PAR_014 → PAR_012,2.236,0.745,3_pares
PAR_005,PAR_012,PAR_075,PAR_005 → PAR_012 → PAR_075 → PAR_005,2.236,0.745,3_pares
PAR_003,PAR_037,PAR_117,PAR_003 → PAR_037 → PAR_117 → PAR_003,2.236,0.745,3_pares
PAR_037,PAR_120,PAR_094,PAR_037 → PAR_120 → PAR_094 → PAR_037,2.235,0.745,3_pares
PAR_037,PAR_075,PAR_080,PAR_037 → PAR_075 → PAR_080 → PAR_037,2.235,0.745,3_pares
PAR_012,PAR_075,PAR_109,PAR_012 → PAR_075 → PAR_109 → PAR_012,2.235,0.745,3_pares
PAR_075,PAR_117,PAR_090,PAR_075 → PAR_117 → PAR_090 → PAR_075,2.235,0.745,3_pares
PAR_012,PAR_021,PAR_037,PAR_012 → PAR_021 → PAR_037 → PAR_012,2.235,0.745,3_pares
PAR_057,PAR_075,PAR_103,PAR_057 → PAR_075 → PAR_103 → PAR_057,2.235,0.745,3_pares
PAR_052,PAR_057,PAR_075,PAR_052 → PAR_057 → PAR_075 → PAR_052,2.235,0.745,3_pares
PAR_012,PAR_094,PAR_070,PAR_012 → PAR_094 → PAR_070 → PAR_012,2.234,0.745,3_pares
PAR_003,PAR_094,PAR_036,PAR_003 → PAR_094 → PAR_036 → PAR_003,2.233,0.744,3_pares
PAR_051,PAR_055,PAR_075,PAR_051 → PAR_055 → PAR_075 → PAR_051,2.233,0.744,3_pares
PAR_075,PAR_120,PAR_094,PAR_075 → PAR_120 → PAR_094 → PAR_075,2.233,0.744,3_pares
PAR_012,PAR_037,PAR_073,PAR_012 → PAR_037 → PAR_073 → PAR_012,2.232,0.744,3_pares
PAR_012,PAR_061,PAR_109,PAR_012 → PAR_061 → PAR_109 → PAR_012,2.231,0.744,3_pares
PAR_046,PAR_061,PAR_075,PAR_046 → PAR_061 → PAR_075 → PAR_046,2.231,0.744,3_pares
PAR_061,PAR_094,PAR_073,PAR_061 → PAR_094 → PAR_073 → PAR_061,2.23,0.743,3_pares
PAR_021,PAR_055,PAR_070,PAR_021 → PAR_055 → PAR_070 → PAR_021,2.23,0.743,3_pares
PAR_012,PAR_109,PAR_101,PAR_012 → PAR_109 → PAR_101 → PAR_012,2.23,0.743,3_pares
PAR_003,PAR_094,PAR_028,PAR_003 → PAR_094 → PAR_028 → PAR_003,2.23,0.743,3_pares
PAR_037,PAR_057,PAR_090,PAR_037 → PAR_057 → PAR_090 → PAR_037,2.23,0.743,3_pares
PAR_037,PAR_057,PAR_070,PAR_037 → PAR_057 → PAR_070 → PAR_037,2.23,0.743,3_pares
PAR_015,PAR_055,PAR_061,PAR_015 → PAR_055 → PAR_061 → PAR_015,2.23,0.743,3_pares
PAR_028,PAR_037,PAR_075,PAR_028 → PAR_037 → PAR_075 → PAR_028,2.229,0.743,3_pares
PAR_012,PAR_061,PAR_069,PAR_012 → PAR_061 → PAR_069 → PAR_012,2.229,0.743,3_pares
PAR_037,PAR_117,PAR_069,PAR_037 → PAR_117 → PAR_069 → PAR_037,2.229,0.743,3_pares
PAR_012,PAR_075,PAR_064,PAR_012 → PAR_075 → PAR_064 → PAR_012,2.229,0.743,3_pares
PAR_003,PAR_021,PAR_055,PAR_003 → PAR_021 → PAR_055 → PAR_003,2.228,0.743,3_pares
PAR_012,PAR_109,PAR_080,PAR_012 → PAR_109 → PAR_080 → PAR_012,2.228,0.743,3_pares
PAR_037,PAR_070,PAR_055,PAR_037 → PAR_070 → PAR_055 → PAR_037,2.227,0.742,3_pares
PAR_037,PAR_039,PAR_094,PAR_037 → PAR_039 → PAR_094 → PAR_037,2.227,0.742,3_pares
PAR_012,PAR_061,PAR_073,PAR_012 → PAR_061 → PAR_073 → PAR_012,2.226,0.742,3_pares
PAR_003,PAR_075,PAR_057,PAR_003 → PAR_075 → PAR_057 → PAR_003,2.226,0.742,3_pares
PAR_055,PAR_090,PAR_075,PAR_055 → PAR_090 → PAR_075 → PAR_055,2.226,0.742,3_pares
PAR_055,PAR_075,PAR_070,PAR_055 → PAR_075 → PAR_070 → PAR_055,2.226,0.742,3_pares
PAR_014,PAR_061,PAR_070,PAR_014 → PAR_061 → PAR_070 → PAR_014,2.226,0.742,3_pares
PAR_012,PAR_061,PAR_075,PAR_012 → PAR_061 → PAR_075 → PAR_012,2.225,0.742,3_pares
PAR_012,PAR_094,PAR_069,PAR_012 → PAR_094 → PAR_069 → PAR_012,2.225,0.742,3_pares
PAR_046,PAR_117,PAR_109,PAR_046 → PAR_117 → PAR_109 → PAR_046,2.225,0.742,3_pares
PAR_069,PAR_075,PAR_103,PAR_069 → PAR_075 → PAR_103 → PAR_069,2.225,0.742,3_pares
PAR_045,PAR_080,PAR_075,PAR_045 → PAR_080 → PAR_075 → PAR_045,2.224,0.741,3_pares
PAR_003,PAR_092,PAR_055,PAR_003 → PAR_092 → PAR_055 → PAR_003,2.224,0.741,3_pares
PAR_012,PAR_037,PAR_080,PAR_012 → PAR_037 → PAR_080 → PAR_012,2.224,0.741,3_pares
PAR_052,PAR_069,PAR_075,PAR_052 → PAR_069 → PAR_075 → PAR_052,2.224,0.741,3_pares
PAR_012,PAR_075,PAR_101,PAR_012 → PAR_075 → PAR_101 → PAR_012,2.224,0.741,3_pares
PAR_028,PAR_061,PAR_092,PAR_028 → PAR_061 → PAR_092 → PAR_028,2.223,0.741,3_pares
PAR_018,PAR_080,PAR_075,PAR_018 → PAR_080 → PAR_075 → PAR_018,2.223,0.741,3_pares
PAR_021,PAR_037,PAR_057,PAR_021 → PAR_037 → PAR_057 → PAR_021,2.223,0.741,3_pares
PAR_026,PAR_055,PAR_061,PAR_026 → PAR_055 → PAR_061 → PAR_026,2.223,0.741,3_pares
PAR_028,PAR_075,PAR_046,PAR_028 → PAR_075 → PAR_046 → PAR_028,2.222,0.741,3_pares
PAR_012,PAR_094,PAR_075,PAR_012 → PAR_094 → PAR_075 → PAR_012,2.222,0.741,3_pares
PAR_057,PAR_070,PAR_094,PAR_057 → PAR_070 → PAR_094 → PAR_057,2.222,0.741,3_pares
PAR_012,PAR_109,PAR_028,PAR_012 → PAR_109 → PAR_028 → PAR_012,2.222,0.741,3_pares
PAR_034,PAR_075,PAR_117,PAR_034 → PAR_075 → PAR_117 → PAR_034,2.222,0.741,3_pares
PAR_057,PAR_090,PAR_094,PAR_057 → PAR_090 → PAR_094 → PAR_057,2.222,0.741,3_pares
PAR_021,PAR_070,PAR_093,PAR_021 → PAR_070 → PAR_093 → PAR_021,2.222,0.741,3_pares
PAR_037,PAR_075,PAR_052,PAR_037 → PAR_075 → PAR_052 → PAR_037,2.222,0.741,3_pares
PAR_003,PAR_015,PAR_028,PAR_003 → PAR_015 → PAR_028 → PAR_003,2.221,0.74,3_pares
PAR_029,PAR_075,PAR_055,PAR_029 → PAR_075 → PAR_055 → PAR_029,2.221,0.74,3_pares
PAR_021,PAR_057,PAR_075,PAR_021 → PAR_057 → PAR_075 → PAR_021,2.221,0.74,3_pares
PAR_037,PAR_117,PAR_061,PAR_037 → PAR_117 → PAR_061 → PAR_037,2.221,0.74,3_pares
PAR_037,PAR_070,PAR_069,PAR_037 → PAR_070 → PAR_069 → PAR_037,2.221,0.74,3_pares
PAR_037,PAR_090,PAR_069,PAR_037 → PAR_090 → PAR_069 → PAR_037,2.221,0.74,3_pares
PAR_069,PAR_070,PAR_093,PAR_069 → PAR_070 → PAR_093 → PAR_069,2.221,0.74,3_pares
PAR_014,PAR_069,PAR_075,PAR_014 → PAR_069 → PAR_075 → PAR_014,2.221,0.74,3_pares
PAR_028,PAR_094,PAR_092,PAR_028 → PAR_094 → PAR_092 → PAR_028,2.22,0.74,3_pares
PAR_003,PAR_090,PAR_094,PAR_003 → PAR_090 → PAR_094 → PAR_003,2.22,0.74,3_pares
PAR_003,PAR_070,PAR_080,PAR_003 → PAR_070 → PAR_080 → PAR_003,2.22,0.74,3_pares
PAR_012,PAR_061,PAR_080,PAR_012 → PAR_061 → PAR_080 → PAR_012,2.219,0.74,3_pares
PAR_003,PAR_070,PAR_094,PAR_003 → PAR_070 → PAR_094 → PAR_003,2.219,0.74,3_pares
PAR_055,PAR_070,PAR_094,PAR_055 → PAR_070 → PAR_094 → PAR_055,2.219,0.74,3_pares
PAR_012,PAR_061,PAR_094,PAR_012 → PAR_061 → PAR_094 → PAR_012,2.218,0.739,3_pares
PAR_003,PAR_021,PAR_092,PAR_003 → PAR_021 → PAR_092 → PAR_003,2.218,0.739,3_pares
PAR_037,PAR_117,PAR_094,PAR_037 → PAR_117 → PAR_094 → PAR_037,2.218,0.739,3_pares
PAR_028,PAR_075,PAR_045,PAR_028 → PAR_075 → PAR_045 → PAR_028,2.218,0.739,3_pares
PAR_021,PAR_092,PAR_055,PAR_021 → PAR_092 → PAR_055 → PAR_021,2.218,0.739,3_pares
PAR_037,PAR_070,PAR_096,PAR_037 → PAR_070 → PAR_096 → PAR_037,2.217,0.739,3_pares
PAR_005,PAR_037,PAR_109,PAR_005 → PAR_037 → PAR_109 → PAR_005,2.217,0.739,3_pares
PAR_057,PAR_069,PAR_061,PAR_057 → PAR_069 → PAR_061 → PAR_057,2.217,0.739,3_pares
PAR_012,PAR_021,PAR_117,PAR_012 → PAR_021 → PAR_117 → PAR_012,2.217,0.739,3_pares
PAR_018,PAR_028,PAR_075,PAR_018 → PAR_028 → PAR_075 → PAR_018,2.217,0.739,3_pares
PAR_037,PAR_073,PAR_070,PAR_037 → PAR_073 → PAR_070 → PAR_037,2.217,0.739,3_pares
PAR_012,PAR_094,PAR_080,PAR_012 → PAR_094 → PAR_080 → PAR_012,2.216,0.739,3_pares
PAR_051,PAR_080,PAR_075,PAR_051 → PAR_080 → PAR_075 → PAR_051,2.216,0.739,3_pares
PAR_003,PAR_037,PAR_073,PAR_003 → PAR_037 → PAR_073 → PAR_003,2.216,0.739,3_pares
PAR_037,PAR_075,PAR_090,PAR_037 → PAR_075 → PAR_090 → PAR_037,2.216,0.739,3_pares
PAR_003,PAR_012,PAR_114,PAR_003 → PAR_012 → PAR_114 → PAR_003,2.215,0.738,3_pares
PAR_075,PAR_103,PAR_080,PAR_075 → PAR_103 → PAR_080 → PAR_075,2.215,0.738,3_pares
PAR_061,PAR_090,PAR_069,PAR_061 → PAR_090 → PAR_069 → PAR_061,2.215,0.738,3_pares
PAR_003,PAR_070,PAR_036,PAR_003 → PAR_070 → PAR_036 → PAR_003,2.215,0.738,3_pares
PAR_003,PAR_070,PAR_012,PAR_003 → PAR_070 → PAR_012 → PAR_003,2.215,0.738,3_pares
PAR_003,PAR_070,PAR_018,PAR_003 → PAR_070 → PAR_018 → PAR_003,2.215,0.738,3_pares
PAR_061,PAR_070,PAR_093,PAR_061 → PAR_070 → PAR_093 → PAR_061,2.214,0.738,3_pares
PAR_005,PAR_069,PAR_075,PAR_005 → PAR_069 → PAR_075 → PAR_005,2.214,0.738,3_pares
PAR_037,PAR_046,PAR_057,PAR_037 → PAR_046 → PAR_057 → PAR_037,2.214,0.738,3_pares
PAR_014,PAR_061,PAR_037,PAR_014 → PAR_061 → PAR_037 → PAR_014,2.214,0.738,3_pares
PAR_001,PAR_003,PAR_070,PAR_001 → PAR_003 → PAR_070 → PAR_001,2.213,0.738,3_pares
PAR_037,PAR_070,PAR_061,PAR_037 → PAR_070 → PAR_061 → PAR_037,2.213,0.738,3_pares
PAR_014,PAR_061,PAR_075,PAR_014 → PAR_061 → PAR_075 → PAR_014,2.213,0.738,3_pares
PAR_003,PAR_069,PAR_061,PAR_003 → PAR_069 → PAR_061 → PAR_003,2.213,0.738,3_pares
PAR_015,PAR_028,PAR_037,PAR_015 → PAR_028 → PAR_037 → PAR_015,2.213,0.738,3_pares
PAR_003,PAR_070,PAR_028,PAR_003 → PAR_070 → PAR_028 → PAR_003,2.213,0.738,3_pares
PAR_061,PAR_075,PAR_070,PAR_061 → PAR_075 → PAR_070 → PAR_061,2.212,0.737,3_pares
PAR_061,PAR_073,PAR_070,PAR_061 → PAR_073 → PAR_070 → PAR_061,2.212,0.737,3_pares
PAR_012,PAR_061,PAR_028,PAR_012 → PAR_061 → PAR_028 → PAR_012,2.212,0.737,3_pares
PAR_014,PAR_094,PAR_037,PAR_014 → PAR_094 → PAR_037 → PAR_014,2.211,0.737,3_pares
PAR_014,PAR_075,PAR_046,PAR_014 → PAR_075 → PAR_046 → PAR_014,2.211,0.737,3_pares
PAR_052,PAR_080,PAR_061,PAR_052 → PAR_080 → PAR_061 → PAR_052,2.211,0.737,3_pares
PAR_037,PAR_070,PAR_080,PAR_037 → PAR_070 → PAR_080 → PAR_037,2.211,0.737,3_pares
PAR_012,PAR_109,PAR_090,PAR_012 → PAR_109 → PAR_090 → PAR_012,2.211,0.737,3_pares
PAR_080,PAR_090,PAR_092,PAR_080 → PAR_090 → PAR_092 → PAR_080,2.21,0.737,3_pares
PAR_028,PAR_075,PAR_051,PAR_028 → PAR_075 → PAR_051 → PAR_028,2.21,0.737,3_pares
PAR_012,PAR_075,PAR_103,PAR_012 → PAR_075 → PAR_103 → PAR_012,2.21,0.737,3_pares
PAR_012,PAR_021,PAR_014,PAR_012 → PAR_021 → PAR_014 → PAR_012,2.21,0.737,3_pares
PAR_003,PAR_094,PAR_069,PAR_003 → PAR_094 → PAR_069 → PAR_003,2.21,0.737,3_pares
PAR_014,PAR_094,PAR_075,PAR_014 → PAR_094 → PAR_075 → PAR_014,2.21,0.737,3_pares
PAR_073,PAR_090,PAR_094,PAR_073 → PAR_090 → PAR_094 → PAR_073,2.21,0.737,3_pares
PAR_026,PAR_080,PAR_075,PAR_026 → PAR_080 → PAR_075 → PAR_026,2.21,0.737,3_pares
PAR_003,PAR_090,PAR_015,PAR_003 → PAR_090 → PAR_015 → PAR_003,2.21,0.737,3_pares
PAR_037,PAR_070,PAR_094,PAR_037 → PAR_070 → PAR_094 → PAR_037,2.21,0.737,3_pares
PAR_037,PAR_073,PAR_069,PAR_037 → PAR_073 → PAR_069 → PAR_037,2.21,0.737,3_pares
PAR_069,PAR_075,PAR_093,PAR_069 → PAR_075 → PAR_093 → PAR_069,2.209,0.736,3_pares
PAR_012,PAR_021,PAR_070,PAR_012 → PAR_021 → PAR_070 → PAR_012,2.209,0.736,3_pares
PAR_070,PAR_094,PAR_075,PAR_070 → PAR_094 → PAR_075 → PAR_070,2.209,0.736,3_pares
PAR_012,PAR_094,PAR_028,PAR_012 → PAR_094 → PAR_028 → PAR_012,2.209,0.736,3_pares
PAR_012,PAR_069,PAR_090,PAR_012 → PAR_069 → PAR_090 → PAR_012,2.209,0.736,3_pares
PAR_028,PAR_075,PAR_103,PAR_028 → PAR_075 → PAR_103 → PAR_028,2.209,0.736,3_pares
PAR_003,PAR_075,PAR_061,PAR_003 → PAR_075 → PAR_061 → PAR_003,2.209,0.736,3_pares
PAR_003,PAR_109,PAR_012,PAR_003 → PAR_109 → PAR_012 → PAR_003,2.209,0.736,3_pares
PAR_012,PAR_015,PAR_101,PAR_012 → PAR_015 → PAR_101 → PAR_012,2.208,0.736,3_pares
PAR_046,PAR_069,PAR_109,PAR_046 → PAR_069 → PAR_109 → PAR_046,2.208,0.736,3_pares
PAR_051,PAR_055,PAR_070,PAR_051 → PAR_055 → PAR_070 → PAR_051,2.208,0.736,3_pares
