par_1,par_2,score_total,score_medio,tipo_ciclo
PAR_075,PAR_090,1.444,0.722,2_pares
PAR_003,PAR_092,1.443,0.722,2_pares
PAR_005,PAR_021,1.443,0.722,2_pares
PAR_003,PAR_034,1.441,0.721,2_pares
PAR_061,PAR_070,1.441,0.72,2_pares
PAR_015,PAR_028,1.44,0.72,2_pares
PAR_005,PAR_075,1.439,0.72,2_pares
PAR_070,PAR_080,1.438,0.719,2_pares
PAR_090,PAR_094,1.438,0.719,2_pares
PAR_039,PAR_070,1.437,0.718,2_pares
PAR_037,PAR_120,1.435,0.718,2_pares
PAR_061,PAR_109,1.434,0.717,2_pares
PAR_046,PAR_109,1.433,0.716,2_pares
PAR_064,PAR_075,1.433,0.717,2_pares
PAR_028,PAR_070,1.432,0.716,2_pares
PAR_075,PAR_120,1.432,0.716,2_pares
PAR_061,PAR_093,1.431,0.716,2_pares
PAR_068,PAR_070,1.431,0.716,2_pares
PAR_076,PAR_094,1.43,0.715,2_pares
PAR_037,PAR_046,1.429,0.714,2_pares
PAR_061,PAR_120,1.429,0.714,2_pares
PAR_093,PAR_094,1.427,0.714,2_pares
PAR_075,PAR_101,1.427,0.714,2_pares
PAR_037,PAR_053,1.427,0.714,2_pares
PAR_003,PAR_015,1.426,0.713,2_pares
PAR_024,PAR_075,1.425,0.713,2_pares
PAR_109,PAR_117,1.422,0.711,2_pares
PAR_070,PAR_090,1.42,0.71,2_pares
PAR_012,PAR_034,1.42,0.71,2_pares
PAR_070,PAR_085,1.42,0.71,2_pares
PAR_094,PAR_101,1.42,0.71,2_pares
PAR_052,PAR_109,1.419,0.71,2_pares
PAR_068,PAR_075,1.418,0.709,2_pares
PAR_029,PAR_070,1.415,0.708,2_pares
PAR_034,PAR_117,1.415,0.708,2_pares
PAR_037,PAR_103,1.415,0.708,2_pares
PAR_075,PAR_103,1.413,0.707,2_pares
PAR_002,PAR_061,1.413,0.707,2_pares
PAR_055,PAR_109,1.412,0.706,2_pares
PAR_037,PAR_058,1.412,0.706,2_pares
PAR_007,PAR_099,1.41,0.705,2_pares
PAR_052,PAR_061,1.409,0.705,2_pares
PAR_005,PAR_109,1.409,0.704,2_pares
PAR_070,PAR_120,1.408,0.704,2_pares
PAR_051,PAR_080,1.408,0.704,2_pares
PAR_034,PAR_057,1.408,0.704,2_pares
PAR_070,PAR_096,1.408,0.704,2_pares
PAR_034,PAR_070,1.406,0.703,2_pares
PAR_003,PAR_111,1.405,0.703,2_pares
PAR_069,PAR_109,1.405,0.702,2_pares
PAR_037,PAR_112,1.404,0.702,2_pares
PAR_029,PAR_037,1.404,0.702,2_pares
PAR_058,PAR_094,1.404,0.702,2_pares
PAR_073,PAR_109,1.403,0.702,2_pares
PAR_070,PAR_101,1.403,0.702,2_pares
PAR_021,PAR_069,1.403,0.702,2_pares
PAR_021,PAR_093,1.402,0.701,2_pares
PAR_028,PAR_051,1.402,0.701,2_pares
PAR_029,PAR_075,1.402,0.701,2_pares
PAR_021,PAR_073,1.401,0.701,2_pares
PAR_021,PAR_037,1.401,0.701,2_pares
PAR_053,PAR_070,1.401,0.7,2_pares
PAR_075,PAR_109,1.401,0.701,2_pares
PAR_021,PAR_096,1.4,0.7,2_pares
PAR_094,PAR_110,1.399,0.7,2_pares
PAR_030,PAR_094,1.399,0.7,2_pares
PAR_061,PAR_112,1.399,0.7,2_pares
PAR_021,PAR_075,1.399,0.7,2_pares
PAR_034,PAR_069,1.398,0.699,2_pares
PAR_101,PAR_109,1.397,0.699,2_pares
PAR_092,PAR_099,1.396,0.698,2_pares
PAR_021,PAR_046,1.396,0.698,2_pares
PAR_029,PAR_094,1.396,0.698,2_pares
PAR_075,PAR_099,1.395,0.698,2_pares
PAR_016,PAR_037,1.395,0.698,2_pares
PAR_034,PAR_075,1.394,0.697,2_pares
PAR_039,PAR_109,1.394,0.697,2_pares
PAR_034,PAR_099,1.394,0.697,2_pares
PAR_021,PAR_080,1.394,0.697,2_pares
PAR_028,PAR_065,1.392,0.696,2_pares
PAR_012,PAR_029,1.392,0.696,2_pares
PAR_061,PAR_099,1.391,0.696,2_pares
PAR_034,PAR_101,1.39,0.695,2_pares
PAR_053,PAR_092,1.389,0.694,2_pares
PAR_064,PAR_094,1.389,0.695,2_pares
PAR_028,PAR_109,1.389,0.695,2_pares
PAR_003,PAR_025,1.389,0.695,2_pares
PAR_094,PAR_099,1.388,0.694,2_pares
PAR_052,PAR_070,1.388,0.694,2_pares
PAR_034,PAR_080,1.388,0.694,2_pares
PAR_034,PAR_039,1.387,0.694,2_pares
PAR_018,PAR_099,1.385,0.693,2_pares
PAR_053,PAR_061,1.385,0.693,2_pares
PAR_021,PAR_117,1.383,0.692,2_pares
PAR_027,PAR_061,1.382,0.691,2_pares
PAR_070,PAR_110,1.382,0.691,2_pares
PAR_033,PAR_070,1.381,0.691,2_pares
PAR_061,PAR_067,1.381,0.691,2_pares
PAR_028,PAR_034,1.381,0.691,2_pares
PAR_002,PAR_037,1.381,0.691,2_pares
PAR_002,PAR_075,1.379,0.69,2_pares
PAR_070,PAR_112,1.378,0.689,2_pares
PAR_111,PAR_117,1.378,0.689,2_pares
PAR_014,PAR_021,1.377,0.689,2_pares
PAR_038,PAR_070,1.375,0.688,2_pares
PAR_003,PAR_038,1.374,0.687,2_pares
PAR_061,PAR_103,1.373,0.686,2_pares
PAR_064,PAR_070,1.372,0.686,2_pares
PAR_046,PAR_103,1.372,0.686,2_pares
PAR_057,PAR_111,1.372,0.686,2_pares
PAR_007,PAR_034,1.372,0.686,2_pares
PAR_051,PAR_053,1.371,0.685,2_pares
PAR_029,PAR_069,1.37,0.685,2_pares
PAR_058,PAR_061,1.37,0.685,2_pares
PAR_030,PAR_037,1.37,0.685,2_pares
PAR_094,PAR_103,1.37,0.685,2_pares
PAR_034,PAR_090,1.37,0.685,2_pares
PAR_034,PAR_085,1.37,0.685,2_pares
PAR_030,PAR_075,1.369,0.684,2_pares
PAR_055,PAR_111,1.368,0.684,2_pares
PAR_007,PAR_053,1.367,0.683,2_pares
PAR_093,PAR_109,1.367,0.683,2_pares
PAR_038,PAR_069,1.367,0.683,2_pares
PAR_018,PAR_103,1.366,0.683,2_pares
PAR_021,PAR_097,1.364,0.682,2_pares
PAR_091,PAR_094,1.364,0.682,2_pares
PAR_024,PAR_070,1.364,0.682,2_pares
PAR_032,PAR_109,1.363,0.681,2_pares
PAR_040,PAR_061,1.362,0.681,2_pares
PAR_069,PAR_111,1.362,0.681,2_pares
PAR_037,PAR_097,1.361,0.68,2_pares
PAR_061,PAR_076,1.36,0.68,2_pares
PAR_034,PAR_093,1.36,0.68,2_pares
PAR_003,PAR_027,1.359,0.679,2_pares
PAR_073,PAR_111,1.358,0.679,2_pares
PAR_040,PAR_094,1.358,0.679,2_pares
PAR_005,PAR_027,1.357,0.678,2_pares
PAR_016,PAR_075,1.357,0.678,2_pares
PAR_061,PAR_097,1.356,0.678,2_pares
PAR_046,PAR_064,1.355,0.677,2_pares
PAR_046,PAR_099,1.354,0.677,2_pares
PAR_101,PAR_111,1.354,0.677,2_pares
PAR_034,PAR_046,1.353,0.676,2_pares
PAR_032,PAR_061,1.353,0.676,2_pares
PAR_094,PAR_097,1.353,0.676,2_pares
PAR_012,PAR_038,1.352,0.676,2_pares
PAR_027,PAR_093,1.352,0.676,2_pares
PAR_094,PAR_111,1.351,0.675,2_pares
PAR_027,PAR_037,1.35,0.675,2_pares
PAR_037,PAR_067,1.35,0.675,2_pares
PAR_016,PAR_094,1.35,0.675,2_pares
PAR_027,PAR_073,1.35,0.675,2_pares
PAR_032,PAR_094,1.35,0.675,2_pares
PAR_070,PAR_102,1.349,0.674,2_pares
PAR_068,PAR_111,1.345,0.672,2_pares
PAR_027,PAR_101,1.345,0.673,2_pares
PAR_027,PAR_080,1.344,0.672,2_pares
PAR_034,PAR_068,1.344,0.672,2_pares
PAR_021,PAR_052,1.344,0.672,2_pares
PAR_045,PAR_053,1.343,0.671,2_pares
PAR_027,PAR_039,1.342,0.671,2_pares
PAR_029,PAR_090,1.341,0.671,2_pares
PAR_002,PAR_034,1.341,0.67,2_pares
PAR_038,PAR_090,1.339,0.669,2_pares
PAR_109,PAR_110,1.339,0.669,2_pares
PAR_037,PAR_102,1.339,0.669,2_pares
PAR_075,PAR_102,1.337,0.668,2_pares
PAR_015,PAR_053,1.336,0.668,2_pares
PAR_025,PAR_080,1.336,0.668,2_pares
PAR_033,PAR_037,1.334,0.667,2_pares
PAR_046,PAR_058,1.333,0.666,2_pares
PAR_027,PAR_117,1.333,0.666,2_pares
PAR_021,PAR_112,1.333,0.667,2_pares
PAR_034,PAR_110,1.332,0.666,2_pares
PAR_061,PAR_091,1.331,0.665,2_pares
PAR_025,PAR_028,1.33,0.665,2_pares
PAR_040,PAR_075,1.329,0.664,2_pares
PAR_099,PAR_109,1.328,0.664,2_pares
PAR_037,PAR_038,1.328,0.664,2_pares
PAR_065,PAR_101,1.327,0.663,2_pares
PAR_007,PAR_027,1.327,0.663,2_pares
PAR_034,PAR_109,1.327,0.663,2_pares
PAR_021,PAR_064,1.327,0.663,2_pares
PAR_021,PAR_099,1.327,0.663,2_pares
PAR_027,PAR_090,1.325,0.662,2_pares
PAR_021,PAR_032,1.325,0.663,2_pares
PAR_015,PAR_103,1.324,0.662,2_pares
PAR_034,PAR_064,1.322,0.661,2_pares
PAR_064,PAR_099,1.322,0.661,2_pares
PAR_024,PAR_109,1.321,0.66,2_pares
PAR_032,PAR_092,1.32,0.66,2_pares
PAR_021,PAR_024,1.319,0.659,2_pares
PAR_052,PAR_058,1.319,0.659,2_pares
PAR_015,PAR_091,1.318,0.659,2_pares
PAR_067,PAR_109,1.318,0.659,2_pares
PAR_051,PAR_091,1.317,0.658,2_pares
PAR_024,PAR_034,1.314,0.657,2_pares
PAR_103,PAR_109,1.309,0.654,2_pares
PAR_027,PAR_046,1.308,0.654,2_pares
PAR_058,PAR_109,1.307,0.653,2_pares
PAR_024,PAR_027,1.305,0.653,2_pares
PAR_015,PAR_032,1.305,0.653,2_pares
PAR_021,PAR_058,1.305,0.653,2_pares
PAR_034,PAR_103,1.302,0.651,2_pares
PAR_030,PAR_109,1.302,0.651,2_pares
PAR_058,PAR_064,1.301,0.651,2_pares
PAR_021,PAR_030,1.3,0.65,2_pares
PAR_029,PAR_109,1.299,0.649,2_pares
PAR_027,PAR_068,1.299,0.649,2_pares
PAR_021,PAR_029,1.297,0.649,2_pares
PAR_076,PAR_109,1.297,0.649,2_pares
PAR_053,PAR_103,1.297,0.649,2_pares
PAR_091,PAR_092,1.297,0.648,2_pares
PAR_038,PAR_109,1.296,0.648,2_pares
PAR_053,PAR_058,1.295,0.647,2_pares
PAR_111,PAR_112,1.292,0.646,2_pares
PAR_097,PAR_109,1.292,0.646,2_pares
PAR_016,PAR_109,1.29,0.645,2_pares
PAR_027,PAR_085,1.289,0.645,2_pares
PAR_021,PAR_111,1.289,0.645,2_pares
PAR_038,PAR_111,1.289,0.645,2_pares
PAR_053,PAR_065,1.288,0.644,2_pares
PAR_016,PAR_021,1.288,0.644,2_pares
PAR_034,PAR_097,1.285,0.643,2_pares
PAR_032,PAR_034,1.283,0.641,2_pares
PAR_016,PAR_034,1.283,0.641,2_pares
PAR_027,PAR_109,1.282,0.641,2_pares
PAR_027,PAR_076,1.281,0.641,2_pares
PAR_021,PAR_027,1.28,0.64,2_pares
PAR_027,PAR_099,1.276,0.638,2_pares
PAR_027,PAR_034,1.275,0.637,2_pares
PAR_067,PAR_111,1.275,0.637,2_pares
PAR_027,PAR_053,1.269,0.635,2_pares
PAR_002,PAR_111,1.269,0.635,2_pares
PAR_027,PAR_067,1.265,0.633,2_pares
PAR_021,PAR_033,1.264,0.632,2_pares
PAR_040,PAR_109,1.262,0.631,2_pares
PAR_034,PAR_091,1.26,0.63,2_pares
PAR_021,PAR_040,1.26,0.63,2_pares
PAR_091,PAR_111,1.26,0.63,2_pares
PAR_002,PAR_027,1.259,0.629,2_pares
PAR_033,PAR_111,1.259,0.629,2_pares
PAR_027,PAR_103,1.258,0.629,2_pares
PAR_034,PAR_040,1.255,0.627,2_pares
PAR_076,PAR_111,1.253,0.627,2_pares
PAR_034,PAR_038,1.252,0.626,2_pares
PAR_027,PAR_091,1.252,0.626,2_pares
PAR_016,PAR_111,1.247,0.623,2_pares
PAR_027,PAR_097,1.241,0.621,2_pares
PAR_016,PAR_027,1.238,0.619,2_pares
PAR_065,PAR_091,1.234,0.617,2_pares
PAR_040,PAR_111,1.218,0.609,2_pares
PAR_027,PAR_033,1.214,0.607,2_pares
PAR_027,PAR_038,1.206,0.603,2_pares
